model_file,avg_loss,avg_dice,avg_iou,avg_pixel_acc
149,0.147318926,0.8471,0.7417,0.9322
150,0.162907977,0.8293,0.715,0.9261
151,0.144327626,0.854,0.7508,0.9332
152,0.157278225,0.8414,0.733,0.9293
153,0.149384886,0.8418,0.7322,0.931
154,0.158696203,0.837,0.7238,0.9277
155,0.163204574,0.8194,0.7025,0.9236
156,0.142630961,0.8498,0.7443,0.9331
157,0.145188063,0.8381,0.7291,0.9306
158,0.159151898,0.8405,0.7301,0.929
159,0.147038254,0.8548,0.7505,0.9307
160,0.177528764,0.8064,0.687,0.9183
161,0.152415168,0.8525,0.7483,0.9329
162,0.150443293,0.8454,0.7382,0.9318
163,0.148582263,0.8506,0.7456,0.9303
164,0.157378778,0.8406,0.7309,0.9307
165,0.172817804,0.8146,0.6944,0.9226
166,0.149974194,0.8452,0.7389,0.9308
167,0.155528526,0.8383,0.7287,0.929
168,0.179351456,0.8177,0.6994,0.923
169,0.155198616,0.8414,0.733,0.9304
170,0.152753795,0.8343,0.7217,0.9286
171,0.190481981,0.8069,0.6862,0.9182
172,0.168711223,0.8263,0.7117,0.9236
173,0.175663111,0.814,0.6936,0.9206
174,0.157484848,0.8333,0.7215,0.9285
175,0.148328452,0.846,0.7383,0.9315
176,0.165561067,0.8081,0.689,0.9219
177,0.164103956,0.8334,0.7204,0.9272
178,0.155698709,0.8429,0.7351,0.9307
179,0.164497969,0.8276,0.7133,0.9263
180,0.154287323,0.8355,0.7264,0.9297
181,0.155753283,0.8378,0.7273,0.9296
182,0.153978384,0.8298,0.7164,0.9273
183,0.158869044,0.8276,0.714,0.9271
184,0.157244228,0.8387,0.7284,0.9282
185,0.15425259,0.8451,0.7373,0.9315
186,0.151401649,0.8532,0.7488,0.9302
187,0.151196243,0.8432,0.7342,0.9303
188,0.163894095,0.8371,0.7259,0.926
189,0.151608937,0.8513,0.7461,0.9324
190,0.152657094,0.8478,0.7422,0.9299
191,0.148531304,0.8483,0.7415,0.9326
192,0.152968052,0.8408,0.7313,0.9298
193,0.153576272,0.8462,0.7391,0.9291
194,0.156168169,0.8324,0.7193,0.9287
195,0.166719868,0.8235,0.7102,0.9231
196,0.146860057,0.8467,0.741,0.9324
197,0.141995748,0.8568,0.7536,0.9352
